question,choices,answerKey
Which factor will most likely cause a person to develop a fever?,"{'text': ['a leg muscle relaxing after exercise', 'a bacterial population in the bloodstream', 'several viral particles on the skin', 'carbohydrates being digested in the stomach'], 'label': ['A', 'B', 'C', 'D']}",B
Lichens are symbiotic organisms made of green algae and fungi. What do the green algae supply to the fungi in this symbiotic relationship?,"{'text': ['carbon dioxide', 'food', 'protection', 'water'], 'label': ['A', 'B', 'C', 'D']}",B
"When a switch is used in an electrical circuit, the switch can","{'text': ['cause the charge to build.', 'increase and decrease the voltage.', 'cause the current to change direction.', 'stop and start the flow of current.'], 'label': ['A', 'B', 'C', 'D']}",D
Which of the following is an example of an assistive device?,"{'text': ['contact lens', 'motorcycle', 'raincoat', 'coffee pot'], 'label': ['A', 'B', 'C', 'D']}",A
"Rocks are classified as igneous, metamorphic, or sedimentary according to","{'text': ['their color', 'their shape', 'how they formed', 'the minerals they contain'], 'label': ['1', '2', '3', '4']}",3
A chewable calcium carbonate tablet is a common treatment for stomach discomfort. Calcium carbonate is most likely used as this type of medicine because calcium carbonate,"{'text': ['has a pleasant flavor.', 'is inexpensive to produce.', 'neutralizes digestive acid.', 'occurs naturally in the body.'], 'label': ['A', 'B', 'C', 'D']}",C
Which two body systems are directly involved in movement?,"{'text': ['muscular and skeletal', 'digestive and muscular', 'skeletal and respiratory', 'respiratory and digestive'], 'label': ['A', 'B', 'C', 'D']}",A
Which change in the state of water particles causes the particles to become arranged in a fixed position?,"{'text': ['boiling', 'melting', 'freezing', 'evaporating'], 'label': ['A', 'B', 'C', 'D']}",C
Earth's core is primarily composed of which of the following materials?,"{'text': ['basalt', 'iron', 'magma', 'quartz'], 'label': ['A', 'B', 'C', 'D']}",B
Which of the following events during meiosis contributes most to the variation within a species?,"{'text': ['pairing of chromosomes', 'creation of haploid gametes', 'segregation of alleles', 'separation of chromatids'], 'label': ['A', 'B', 'C', 'D']}",C
"Which of the following was probably most important in the formation of dark, fertile soil that is good for farming?","{'text': ['plant decomposition', 'radioactive decay', 'water erosion', 'wind erosion'], 'label': ['A', 'B', 'C', 'D']}",A
"When igneous rock is changed into metamorphic rock, which form of energy is this process?","{'text': ['heat', 'chemical', 'magnetic', 'light'], 'label': ['A', 'B', 'C', 'D']}",A
"In humans, the digestion process begins in","{'text': ['the intestine, with squeezing.', 'the mouth, with chewing and saliva.', 'the stomach, with churning and acid.', 'the esophagus, with pushing towards the stomach.'], 'label': ['A', 'B', 'C', 'D']}",B
Which of these items contains only a solution?,"{'text': ['a jar of pickles', 'a bottle of juice', 'a bag of peanuts', 'a can of mixed fruit'], 'label': ['A', 'B', 'C', 'D']}",B
"Many natural rock formations change color over time. In Utah, for example, iron oxidized and formed red, orange, and yellow rock. Which of the following is the cause of this change?","{'text': ['chemical weathering', 'mechanical weathering', 'water erosion', 'wind erosion'], 'label': ['A', 'B', 'C', 'D']}",A
"A population of small, plant-eating beetles lives in a forest. About half of the beetles are light brown and the others are dark green. If years of drought cause the area to become dry with few trees, what would the beetle population most likely look like after several generations?","{'text': ['It would be mostly light brown beetles.', 'It would be mostly dark green beetles.', 'It would be mostly carnivorous beetles.', 'It would be mostly very large beetles.'], 'label': ['A', 'B', 'C', 'D']}",A
A scientist wanting to document a change in a river's flow pattern should observe a river over a period of,"{'text': ['days.', 'weeks.', 'months.', 'years.'], 'label': ['A', 'B', 'C', 'D']}",D
Automobile engines built today are designed to be gas efficient. Gas-efficient engines most likely affect a city by reducing,"{'text': ['air pollution.', 'heat pollution.', 'noise pollution.', 'light pollution.'], 'label': ['A', 'B', 'C', 'D']}",A
"A student in an empty classroom shouts, ""Hello!"" Which best explains what the student hears after the shout?","{'text': ['an increased loudness of sound', 'a reflection of sound', 'an increased frequency of sound', 'a refraction of sound'], 'label': ['A', 'B', 'C', 'D']}",B
Which type of energy in gasoline is transformed into mechanical energy in a motorcycle engine?,"{'text': ['chemical', 'nuclear', 'magnetic', 'electrical'], 'label': ['1', '2', '3', '4']}",1
A student standing near a campfire feels warmer as the fire grows. Which process most likely transfers heat from the campfire to the student?,"{'text': ['conduction', 'convection', 'radiation', 'transformation'], 'label': ['A', 'B', 'C', 'D']}",C
"In snapdragon plants, red flowers are dominant to white flowers. When red-flowered plants are crossed with white-flowered plants, pink flowers are produced. If a researcher wants to produce plants with only white flowers, what color should the parent plants be?","{'text': ['both red', 'both white', 'one red and one white', 'one white and one pink'], 'label': ['A', 'B', 'C', 'D']}",B
"Scientists use the term ""light year"" to describe","{'text': ['how fast light travels in space.', 'the distance light travels in one year.', 'how large the diameters of different stars are.', 'the time it takes the Sun to move through the galaxy.'], 'label': ['A', 'B', 'C', 'D']}",B
Plate movement can form different features on Earth. The movement of tectonic plates can be both a constructive and a destructive force. At which type of plate boundary is new crust formed?,"{'text': ['convergent', 'subduction', 'transform', 'divergent'], 'label': ['A', 'B', 'C', 'D']}",D
Which group of organisms can show significant trait changes in the shortest period of time?,"{'text': ['bacteria', 'birds', 'fish', 'reptiles'], 'label': ['1', '2', '3', '4']}",1
